업체명,품목,재질,금도금,니켈도금
한중NCS,BUSBAR MTOM,A3003 H14,,Sn : 4 ~ 10㎛ / Ni : 1 ~ 5㎛
넥스플러스,BUSBAR FUSE,AL1050 H14 2.0T,,Sn : 4 ~ 10㎛ / Ni : 1 ~ 5㎛
넥스플러스,BUSBAR POS,AL1050 H14 2.0T,,Sn : 4 ~ 10㎛ / Ni : 1 ~ 5㎛
넥스플러스,BUSBAR NEG,AL1050 H14 2.0T,,Sn : 4 ~ 10㎛ / Ni : 1 ~ 5㎛
풍산,0.1*163,CU,,Ni 1.0~2.0㎛
D.A.K KOREA,Ni 무광,Bronze,,Ni 1.5~2.5㎛
세종에이앤에스,0.15*35,304 1/2H,,Ni 3.0㎛~ (반광)
세종에이앤에스,0.2*26,SUS 316L BA,,Ni 1.0㎛ ~
세종에이앤에스,0.2*108,SUS 316L BA,,Ni 1.0㎛ ~
세종에이앤에스,0.2*112,AL,,Ni 1.0㎛ Min
세종에이앤에스,0.6*28,AL,,Ni 1.5㎛ ~
세종에이앤에스,0.8*28,AL,,Ni 2.0㎛ ~
세종에이앤에스,0.146*44,AL A5052-H32,,Ni 1.5㎛ ~ 3.0㎛
세종에이앤에스,0.3*125,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.116*57,AL A5052-H32,,Ni 1.5㎛ ~ 3.0㎛
세종에이앤에스,0.116*57,AL A3003-0,,Ni 1.5㎛ ~
세종에이앤에스,0.12*88,Cu,,Ni 1.0~3.0㎛
세종에이앤에스,0.12*44,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.12*46,Cu,,Ni 1.0~3.0㎛
세종에이앤에스,0.12*57,AL,,Ni 1.2㎛~
세종에이앤에스,0.12*142,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.12*148,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.12*187,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.12*190,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*45,AL,,Ni 1.2㎛~
세종에이앤에스,0.15*85,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*89,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*98,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*102,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*105,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*107,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*120,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*129,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*131,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*132,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*133,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*141,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*145,Cu,,Ni 3.0㎛ ~
세종에이앤에스,0.15*145,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*150,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*159,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*167,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*168,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*170,Cu,,Ni 1.5~3.0㎛
세종에이앤에스,0.15*171,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*175,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*179,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.15*187,Cu,,Ni 1.0~2.0㎛
세종에이앤에스,0.1*97,Cu,,Ni 1.0~3.0㎛
세종에이앤에스,0.1*52,Cu,,Ni 1.5㎛ ~
세종에이앤에스,0.1*170,Cu,,Ni 1.0~3.0㎛
세종에이앤에스,0.1*190,Cu,,Ni 1.0~2.0㎛
신화아이티,0.2*21.5,AL,,Ni 1.0㎛ ~2.0㎛
에스코넥,0.2*26,S316L BA,,Ni 1.5㎛ ~
에스코넥,0.2*65,S316L BA,,Ni 1.5㎛ ~
신흥 SEC,0.08*4,Cu,,Ni 2.0㎛ ~2.8㎛
신흥 SEC,0.08*6,Cu,,Ni 1.5㎛ ~
신흥 SEC,0.1*6,Cu,,Ni 2.0㎛ ~3.0㎛
신흥 SEC,0.29*26,Cu,,Ni 1.5㎛ ~
신흥 SEC,0.3*26,Cu,,Ni 1.5㎛ ~
신흥 SEC,0.35*26,AL,,Ni 1.5㎛ ~
신흥 SEC,0.4*26,AL,,Ni 1.5㎛ ~
신흥 SEC,0.45*26,AL,,Ni 1.5㎛ ~
신흥 SEC,0.4*30,AL,,Ni 1.5㎛ ~
신흥 SEC,0.5*30,AL,,Ni 1.5㎛ ~
신흥 SEC,0.6*30,AL,,Ni 1.5㎛ ~
신흥 SEC,0.2*176,SUS,,Ni 1.5㎛ ~
신흥 SEC,0.2*204,SUS,,Ni 0.8~2.0㎛
신흥 SEC,0.6*100,AL,,Ni 1.5㎛ ~
㈜ 넵텍,0.2*148,316L BA,,Ni 1.5㎛ ~
㈜ 넵텍,0.4*35,AL,,Ni 1.0~3.0㎛
㈜ 넵텍,0.4*35,AL,Sn 2.0㎛ ~,Ni 1.0㎛ ~
코엔,0.15*18,AL,Au 0.04㎛ Min,Ni 1.2~㎛
우선기업,0.05*65,301 EH,,Ni 2.0~6.0㎛
우선기업,0.08*80,S 316L-H,,Ni 0.3~1.5㎛
우선기업,0.08*80,C7701 EH 단면H/L,,Ni 1.0㎛ ~
우선기업,0.08*165,316LH H/L단면,,Ni 0.5㎛ ~1.5㎛
우선기업,0.15*20,S304H 단면H/L,,Ni 1.0㎛ ~
우선기업,0.15*25,S304H 단면H/L,,Ni 1.0㎛ ~
우선기업,0.15*45,S304 H,,Ni 1.0㎛ ~
우선기업,0.15*48,SUS 304 3/4,,Ni 1.0㎛ ~
우선기업,0.15*55,S316L H 단면H/L,,Ni 1.0㎛ ~
우선기업,0.15*56,S316L H 단면H/L,,Ni 1.0㎛ ~
우선기업,0.15*57,S304H 양면H/L,,Ni 1.0㎛ ~
우선기업,0.15*58,304H H/L,,Ni 1.0㎛ ~
우선기업,0.15*60,STS316L 단면H/L,,Ni 0.5㎛ ~1.5㎛
우선기업,0.15*75,C7035 양면 H/L,,Ni 1.0㎛ ~
우선기업,0.15*75,C7035 (TM06),,Ni 1.0㎛ ~
우선기업,0.15*80,S316L HN H/L,,Ni 1.0㎛ ~
우선기업,0.15*93,316LH H/L단면,,Ni 1.0㎛ ~
우선기업,0.15*100,316LH H/L단면,,Ni 1.0㎛ ~
우선기업,0.15*101,SUS 304 3/4,,Ni 1.0㎛ ~
우선기업,0.15*103,S316L H 단면H/L,,Ni 1.0㎛ ~
우선기업,0.15*105,S316LH,,Ni 1.0㎛ ~
우선기업,0.15*108,SUS 304 3/4,,Ni 1.0㎛ ~
우선기업,0.15*110,S316L H 단면H/L,,Ni 0.5㎛ ~1.5㎛
우선기업,0.15*130,STS 316L(AR)(FH),,Ni 1.0㎛~
우선기업,0.15*131,SUS 304 3/4,,Ni 1.0㎛ ~
우선기업,0.15*132,S316LH,,Ni 1.0㎛ ~
우선기업,0.15*132,S316LH 단면H/L,,Ni 1.0㎛ ~
우선기업,0.15*139,S316LH 단면H/L,,Ni 1.0㎛ ~
우선기업,0.15*141,STS 316LH,,Ni 1.0㎛ ~
우선기업,0.15*148,SUS 304 3/4,,Ni 1.0㎛ ~
우선기업,0.15*149,S304H 양면H/L,,Ni 2.0㎛ ~
우선기업,0.15*150,S316LH,,Ni 1.0㎛ ~
우선기업,0.15*150,S316LH 단면H/L,,Ni 1.0㎛ ~
우선기업,0.15*154,SUS 304 3/4,,Ni 1.0㎛ ~
우선기업,0.15*157,S316L (TA),,Ni 1.0㎛ ~
우선기업,0.15*157,S316 LH,,Ni 1.0㎛ ~
우선기업,0.15*158,S316LH 단면H/L,,Ni 0.5㎛ ~1.5㎛
우선기업,0.15*159,S316LH,,Ni 1.0㎛ ~
우선기업,0.15*165,S316 LH,,Ni 0.5㎛ ~1.5㎛
우선기업,0.15*164,S316LH 단면H/L,,Ni 0.5㎛ ~1.5㎛
우선기업,0.15*174,S316LH,,Ni 1.0㎛ ~
우선기업,0.15*174,S316LH 단면H/L,,Ni 0.5㎛ ~1.5㎛
우선기업,0.15*174(단면H/L),S316LH 단면H/L,,Ni 0.5㎛ ~1.5㎛
우선기업,0.15*175,316 LH,,Ni 1.0㎛ ~
우선기업,0.15*164,S304H 단면H/L,,Ni 0.3㎛ ~1.5㎛
우선기업,0.1*16 B/K,C7701 1/2 H,,Ni 0.5㎛ ~1.5㎛
우선기업,0.1*35,S304H 단면H/L,,Ni 1.0㎛ ~
우선기업,0.1*44,S304H 양면H/L,,Ni 1.0㎛ ~
우선기업,0.1*45,S304H 양면H/L,,Ni 1.0㎛ ~
우선기업,0.1*58,S304H,,Ni 1.0㎛ ~
우선기업,0.1*25,S316L H,,Ni 1.0㎛ ~
우선기업,0.1*20,S304H 양면H/L,,Ni 2.0㎛ ~5.0㎛
우선기업,0.1*58,S304 H,,Ni 1.0㎛ ~
우선기업,0.1*76,S430 H,,Ni 2.0㎛ ~6.0㎛
우선기업,0.1*80,S304H 단면H/L,,Ni 0.5㎛ ~1.5㎛
우선기업,0.1*80,S304H 양면H/L,,Ni 0.5㎛ ~1.5㎛
우선기업,0.1*86,S 316 3/4 H,,Ni 2.0㎛ ~6.0㎛
우선기업,0.1*91,S316L 1/2H 단면H/L,,Ni 1.2㎛ ~1.8㎛
우선기업,0.1*100,S316LH 단면H/L,,Ni 1.0㎛ ~
우선기업,0.1*102,S316LH 단면H/L,,Ni 1.0㎛ ~
